,survived,sex,age,sibsp,parch,fare,embarked,boat,body,home.dest,Sex
0,1.0,female,29.0,0.0,0.0,211.3375,2,2,,"St Louis, MO",1.0
1,1.0,male,0.9167,1.0,2.0,151.55,2,11,,"Montreal, PQ / Chesterville, ON",0.0
2,0.0,female,2.0,1.0,2.0,151.55,2,,,"Montreal, PQ / Chesterville, ON",1.0
3,0.0,male,30.0,1.0,2.0,151.55,2,,135.0,"Montreal, PQ / Chesterville, ON",0.0
4,0.0,female,25.0,1.0,2.0,151.55,2,,,"Montreal, PQ / Chesterville, ON",1.0
5,1.0,male,48.0,0.0,0.0,26.55,2,3,,"New York, NY",0.0
6,1.0,female,63.0,1.0,0.0,77.9583,2,10,,"Hudson, NY",1.0
7,0.0,male,39.0,0.0,0.0,0.0,2,,,"Belfast, NI",0.0
8,1.0,female,53.0,2.0,0.0,51.4792,2,D,,"Bayside, Queens, NY",1.0
9,0.0,male,71.0,0.0,0.0,49.5042,0,,22.0,"Montevideo, Uruguay",0.0
10,0.0,male,47.0,1.0,0.0,227.525,0,,124.0,"New York, NY",0.0
11,1.0,female,18.0,1.0,0.0,227.525,0,4,,"New York, NY",1.0
12,1.0,female,24.0,0.0,0.0,69.3,0,9,,"Paris, France",1.0
13,1.0,female,26.0,0.0,0.0,78.85,2,6,,,1.0
14,1.0,male,80.0,0.0,0.0,30.0,2,B,,"Hessle, Yorks",0.0
15,0.0,male,28.0,0.0,0.0,25.925,2,,,"New York, NY",0.0
16,0.0,male,24.0,0.0,1.0,247.5208,0,,,"Montreal, PQ",0.0
17,1.0,female,50.0,0.0,1.0,247.5208,0,6,,"Montreal, PQ",1.0
18,1.0,female,32.0,0.0,0.0,76.2917,0,8,,,1.0
19,0.0,male,36.0,0.0,0.0,75.2417,0,A,,"Winnipeg, MN",0.0
20,1.0,male,37.0,1.0,1.0,52.5542,2,5,,"New York, NY",0.0
21,1.0,female,47.0,1.0,1.0,52.5542,2,5,,"New York, NY",1.0
22,1.0,male,26.0,0.0,0.0,30.0,0,5,,"New York, NY",0.0
23,1.0,female,42.0,0.0,0.0,227.525,0,4,,,1.0
24,1.0,female,29.0,0.0,0.0,221.7792,2,8,,,1.0
25,0.0,male,25.0,0.0,0.0,26.0,0,,148.0,"San Francisco, CA",0.0
26,1.0,male,25.0,1.0,0.0,91.0792,0,7,,"Dowagiac, MI",0.0
27,1.0,female,19.0,1.0,0.0,91.0792,0,7,,"Dowagiac, MI",1.0
28,1.0,female,35.0,0.0,0.0,135.6333,2,8,,,1.0
29,1.0,male,28.0,0.0,0.0,26.55,2,D,,"Stockholm, Sweden / Washington, DC",0.0
30,0.0,male,45.0,0.0,0.0,35.5,2,,,"Trenton, NJ",0.0
